,Cathegory,Corr
0,Antidepressants,-0.6108128192391196
1,Cars,0.12880163341184683
2,Conspiracy Theories,-0.5346452960117641
3,Consumerism,0.26892869545555315
4,Contraceptives,-0.3873197529235029
5,Crime,-0.5205143781839334
6,Education,-0.43287111278062074
7,University,-0.6115981480608256
8,Emigration,0.0
9,Entertainment,-0.39395168701001604
10,Environmentalism,-0.18236786532927846
11,Gambling,-0.007925937025074133
12,Games,-0.0543204913715222
13,Guns,-0.44620643606718075
14,Healthcare,-0.19371651721842673
15,Housing,0.12723884988440168
16,Charities,-0.6698817958282939
17,Ideologies,-0.7531618835596438
18,Ideology,-0.5935137724542209
19,Illegal Drugs,-0.06404385061666674
20,Investing,-0.1512851732053566
21,Jobs,-0.6235972474109032
22,Legal Drugs,0.013124479754042927
23,Low income,-0.14870257860926414
24,Marriage,-0.19143005167753982
25,News,-0.3160762612824249
26,Other,-0.24530747333661362
27,Religion,-0.5292869270765008
28,S&P 500,-0.5216836284896794
29,Sports,-0.018861134941495175
30,Stats,-0.6215884546305084
31,Steroids,-0.4403593127039322
32,Tourism,-0.20151709980468438
