,Cathegory,Corr
0,Antidepressants,-0.0518673627058249
1,Cars,-0.19889219190898744
2,Conspiracy Theories,-0.07954015546821315
3,Consumerism,-0.07868829086672492
4,Contraceptives,-0.1603207929798634
5,Crime,0.0
6,Education,0.05947736824784376
7,University,0.053101296129373
8,Emigration,0.0
9,Entertainment,-0.05805215402130272
10,Environmentalism,0.03426137505690626
11,Gambling,-0.1857391071236793
12,Games,-0.08518405486158545
13,Guns,-0.051798108780183406
14,Healthcare,-0.12338236404364322
15,Housing,-0.07245982090626261
16,Charities,-0.017732139475890932
17,Ideologies,0.20371961248578346
18,Ideology,-0.03398109843086101
19,Illegal Drugs,-0.3047427737637038
20,Investing,-0.1977971717138213
21,Jobs,-0.10566094831740777
22,Legal Drugs,-0.3521746111944469
23,Low income,-0.12062888747443823
24,Marriage,-0.196134177816157
25,News,-0.0524858322619254
26,Other,-0.22387957968244548
27,Religion,-0.1268827672639028
28,S&P 500,0.010640243552545867
29,Sports,-0.12415231009989285
30,Stats,0.3082087775538592
31,Steroids,-0.02679827017988692
32,Tourism,-0.1603728010135445
