Cathegory,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Antidepressants,16.823129251700678,15.739795918367347,14.761904761904765,11.698979591836734,10.568027210884354,9.98299319727891,9.49659863945578,9.664965986394558,10.41326530612245,11.770408163265309,12.506802721088434,13.241496598639454,12.605442176870747,13.384353741496597,14.340136054421768,15.76530612244898,15.73299319727891,17.92517006802721
Cars,32.60144927536231,31.818840579710148,25.619565217391305,24.307971014492757,22.89855072463768,22.286231884057973,21.206521739130437,18.869565217391305,20.13405797101449,23.894927536231886,25.992753623188403,29.92753623188406,31.93115942028985,33.07608695652174,33.08695652173913,35.05434782608695,31.49275362318841,32.927536231884055
Charities,27.266666666666666,22.886666666666667,18.813333333333333,16.44333333333333,17.08,15.593333333333332,15.426666666666668,14.756666666666666,14.01,15.153333333333332,16.496666666666666,16.173333333333332,14.903333333333332,15.223333333333333,15.733333333333333,16.293333333333333,16.203333333333333,16.533333333333335
Conspiracy Theories,16.0625,13.899038461538462,10.35576923076923,9.498397435897434,9.677884615384617,10.298076923076923,11.387820512820513,11.711538461538462,12.576923076923077,12.9375,12.724358974358974,12.990384615384617,12.099358974358974,11.70352564102564,11.870192307692308,12.368589743589745,15.24198717948718,11.58974358974359
Consumerism,15.9375,17.566666666666666,17.674999999999997,21.08333333333333,23.0625,26.09166666666666,31.84166666666666,30.258333333333333,29.8375,32.21666666666666,33.42916666666667,33.425,33.05416666666666,32.625,32.65416666666666,32.62083333333333,37.9875,33.8
Contraceptives,27.25,20.62962962962963,18.27777777777777,17.074074074074073,15.935185185185183,16.583333333333332,19.49074074074074,23.416666666666668,21.28703703703704,21.416666666666664,22.05555555555556,24.72222222222222,23.49074074074074,22.509259259259256,24.009259259259256,26.51851851851852,27.78703703703704,32.43518518518518
Education,50.28333333333333,46.29583333333333,38.04166666666666,33.475,32.19166666666667,29.425,28.758333333333333,29.804166666666664,28.075,27.77916666666666,28.229166666666668,28.741666666666664,27.25,25.704166666666666,26.616666666666667,27.8,32.49583333333333,34.46666666666666
Entertainment,11.705708661417322,9.749015748031496,8.232611548556429,7.709645669291339,7.594160104986876,7.573162729658792,7.968175853018372,8.621391076115486,9.409120734908136,10.181102362204724,10.194225721784775,10.178805774278215,9.728674540682416,8.455708661417322,8.444225721784777,8.753608923884514,10.033464566929132,9.646653543307089
Environmentalism,36.020833333333336,33.00694444444445,30.034722222222225,28.409722222222214,26.07638888888889,24.09027777777777,22.569444444444443,21.319444444444446,20.84027777777777,24.83333333333333,24.569444444444443,23.77083333333333,21.5,22.26388888888889,26.07638888888889,26.3125,22.569444444444443,26.45138888888889
Gambling,14.234375,14.572916666666666,14.119791666666666,14.510416666666666,14.854166666666666,14.171875,15.109375,16.213541666666668,17.1875,18.66145833333333,19.140625,19.21875,21.276041666666664,21.59375,25.041666666666664,28.34375,28.19270833333333,37.18229166666666
Games,14.01190476190476,16.291666666666664,13.958333333333332,15.529761904761903,20.20833333333333,21.547619047619047,22.5,19.196428571428573,23.809523809523807,37.83928571428572,36.9345238095238,31.559523809523807,23.714285714285715,18.77380952380952,15.63690476190476,16.047619047619047,19.553571428571427,16.0
Guns,26.47395833333333,21.09375,17.84375,18.354166666666668,19.932291666666668,19.171875,18.953125,18.42708333333333,19.71875,20.994791666666668,19.95833333333333,22.260416666666664,23.05208333333333,21.88020833333333,22.588541666666668,21.260416666666668,23.81770833333333,20.15625
Healthcare,24.151041666666668,22.14583333333333,17.825520833333332,16.8984375,17.0625,14.893229166666666,14.684895833333332,16.34375,16.03125,17.546875,18.91927083333333,19.20833333333333,18.799479166666664,19.34895833333333,20.682291666666664,21.971354166666664,24.846354166666664,29.502604166666664
Housing,33.166666666666664,34.744791666666664,31.822916666666664,28.526041666666668,23.171875,23.578125,22.390625,24.33333333333333,24.59375,24.609375,26.546875,27.822916666666668,29.73958333333333,29.755208333333336,29.08333333333333,28.276041666666668,29.229166666666664,30.333333333333336
Ideology,31.403846153846157,24.89743589743589,20.63782051282051,19.019230769230766,19.60576923076923,19.618589743589745,19.125,15.243589743589745,16.083333333333332,14.881410256410255,15.307692307692308,15.564102564102562,16.089743589743588,16.05448717948718,18.131410256410252,18.057692307692307,19.83333333333333,18.68910256410257
Illegal Drugs,25.642857142857142,21.96130952380952,19.303571428571427,17.6875,17.559523809523807,16.556547619047617,17.25,19.33630952380952,20.392857142857142,24.32440476190476,26.660714285714285,26.82440476190476,27.541666666666664,27.125,31.002976190476197,33.61607142857143,33.645833333333336,34.57738095238095
Investing,15.927083333333332,13.395833333333332,12.401041666666668,12.4375,12.635416666666668,11.984375,10.515625,11.104166666666666,10.296875,11.270833333333332,12.411458333333332,13.453125,12.895833333333334,16.927083333333332,18.6875,19.45833333333333,32.0,52.11979166666666
Jobs,28.6969696969697,24.6060606060606,20.477272727272727,16.492424242424242,17.189393939393938,15.931818181818182,16.212121212121215,17.924242424242426,17.053030303030305,17.257575757575754,20.64393939393939,21.43939393939394,18.90909090909091,19.166666666666664,19.030303030303028,18.46212121212121,18.287878787878785,20.734848484848484
Legal Drugs,21.38611111111111,22.56111111111111,19.683333333333334,19.941666666666663,18.95833333333333,18.32222222222222,21.272222222222226,21.8,24.491666666666667,26.522222222222226,25.89444444444444,27.33611111111111,28.611111111111107,29.691666666666663,30.79722222222222,33.583333333333336,32.36666666666666,34.52222222222222
Low income,31.916666666666668,25.90277777777777,22.79861111111111,22.71527777777777,23.08333333333333,22.09027777777777,22.25,25.79861111111111,27.291666666666668,30.625,33.74305555555556,32.20138888888889,30.65277777777777,31.98611111111111,30.034722222222214,30.159722222222214,31.21527777777777,30.819444444444443
Marriage,21.95833333333333,14.916666666666668,11.979166666666666,8.9375,9.75,10.333333333333332,8.375,9.6875,9.5,9.708333333333332,11.20833333333333,11.083333333333332,11.791666666666666,11.0,11.958333333333334,11.666666666666668,11.0,11.416666666666668
News,22.58333333333333,17.95277777777778,15.9375,16.990277777777777,17.291666666666668,17.33888888888889,19.76111111111111,17.45138888888889,18.423611111111107,18.926388888888887,18.861111111111107,19.352777777777774,19.82777777777778,20.525,19.39444444444444,19.468055555555555,18.07222222222222,16.427777777777777
Other,26.29166666666666,18.6875,17.708333333333332,13.874999999999998,12.499999999999998,10.291666666666668,9.041666666666666,11.895833333333334,10.270833333333334,10.979166666666666,14.666666666666668,15.4375,17.125,17.4375,23.916666666666664,28.979166666666668,28.1875,31.875
Religion,25.70138888888889,22.92824074074074,21.63888888888889,19.319444444444443,19.89351851851852,20.814814814814813,21.34722222222222,18.85648148148148,20.29398148148148,21.398148148148145,22.40972222222222,23.40509259259259,22.46296296296296,23.773148148148145,23.416666666666668,24.3125,26.828703703703702,26.29398148148148
S&P 500,20.39734299516908,16.190821256038646,12.999033816425122,11.751207729468598,11.440579710144927,11.489371980676328,11.80096618357488,10.117149758454106,10.252173913043478,10.407246376811594,10.759178743961352,10.91159420289855,10.33695652173913,10.648550724637682,11.203623188405798,11.81135265700483,12.187922705314008,12.13888888888889
Sports,16.809523809523807,15.089285714285714,16.119047619047617,16.005952380952383,13.714285714285714,14.488095238095235,14.648809523809524,14.148809523809524,15.351190476190476,14.982142857142856,15.0,15.874999999999998,18.464285714285715,18.297619047619044,20.547619047619044,18.9047619047619,14.803571428571429,20.869047619047617
Stats,3.9166666666666665,21.08333333333333,10.833333333333334,4.25,13.25,4.666666666666667,2.333333333333333,3.75,5.166666666666667,5.0,5.75,5.416666666666667,5.416666666666667,5.833333333333333,5.083333333333333,3.8333333333333335,11.166666666666666,16.833333333333332
Steroids,24.007575757575754,20.85606060606061,17.757575757575754,14.166666666666664,14.431818181818182,12.537878787878787,12.77272727272727,11.143939393939393,12.363636363636363,14.045454545454543,14.462121212121213,13.886363636363637,13.727272727272728,13.681818181818182,13.636363636363637,13.545454545454543,13.81060606060606,15.4469696969697
Tourism,26.149659863945576,24.74659863945578,22.72278911564625,22.098639455782312,20.10374149659864,19.377551020408163,17.914965986394556,18.663265306122447,18.45408163265306,18.82482993197279,21.663265306122447,23.551020408163264,23.71938775510204,24.632653061224488,24.287414965986397,26.00170068027211,18.921768707482997,20.85884353741497
University,20.10897435897436,14.624542124542124,11.36721611721612,10.216117216117215,10.706959706959708,11.36996336996337,11.660256410256409,8.802197802197803,8.713369963369964,8.638278388278387,8.576007326007325,8.664835164835164,8.698717948717949,8.382783882783883,8.574175824175825,8.804029304029303,8.68223443223443,8.494505494505495
