keyword,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
mdma,3.84764470284793e-10,1.904304713917781e-09,2.927482922743252e-09,4.082349125411611e-09,3.116176761075451e-10,9.056921879135871e-10,0.0,1.267713267694148e-09,6.066409596883204e-10,0.0,0.0,4.763837102572666e-10,0.0,6.012441100544663e-10,1.709533625771087e-10,7.803806489903309e-10
pc,2.0469470030093362e-07,2.1556728313498752e-07,2.85795522358967e-07,2.2798350585162552e-07,4.284742942672892e-07,2.3034770890717482e-07,3.335073586185899e-07,1.5288622989828582e-07,1.906874871338004e-07,4.486188629471144e-07,1.37367536012789e-07,8.638424020546154e-08,1.0844999565051689e-07,6.147720910121279e-08,8.154475494848157e-08,9.988872307076235e-08
octoberfest,9.61911172936425e-09,1.904304713917781e-09,3.659353653429065e-10,9.420806357240963e-10,6.232353522150902e-10,3.018973959711957e-09,3.743768406394565e-09,5.070853181798897e-10,1.8199229900872631e-09,5.49508660796505e-10,3.417102711900099e-10,7.939727764139093e-10,9.889057350775943e-10,1.6534212887719942e-09,1.880486877325893e-09,8.19399659235387e-09
FAU,8.84958311075934e-08,7.959993553185997e-08,7.20892643357729e-08,1.0017456730793119e-07,4.1538635286997295e-07,9.902234410219535e-08,4.5861160202775864e-08,3.8792027368117494e-08,2.790548592201958e-08,2.7035826022370202e-08,6.629178983530437e-08,3.969864081909691e-08,6.856412682054724e-08,4.374050988076305e-08,1.1111968234445151e-07,7.764787568476095e-08
halal,2.0392516120182332e-08,1.523443771134225e-08,2.6713282252899262e-08,2.9204498375179352e-08,4.954721077865542e-08,3.834096773402962e-08,6.613990422010829e-08,3.422825756160819e-08,6.915707473353905e-08,2.967346723892205e-08,4.9206278163183015e-08,7.304549853870412e-08,8.19143579633419e-08,8.733070444577606e-08,9.299863279466081e-08,7.062445206429402e-08
Shisha,3.8476448693813844e-09,0.0,2.195612136546287e-09,7.53664508579277e-09,2.49294140886036e-09,3.6227687516543487e-09,3.4317875208245145e-09,8.36690805527951e-09,4.044273360648276e-09,1.538624228025753e-09,5.296509009156125e-09,5.081425946684703e-09,5.109346279397187e-09,1.6534212887719942e-09,7.692901426992194e-09,5.462664542932316e-09
Moschee,3.2381776690000004e-06,3.205325583e-06,3.931975697e-06,3.781197392e-06,3.8073446830000004e-06,3.7930387860000002e-06,4.0257987160000005e-06,3.4022889390000002e-06,3.271210516e-06,2.398055812e-06,3.4347008290000003e-06,4.468796305e-06,4.1253847480000005e-06,4.016611455e-06,3.7375534700000004e-06,4.1549415070000006e-06
Kratom,3.84764470284793e-10,0.0,3.659353653429065e-10,6.280537201419634e-10,2.49294140886036e-09,6.037947919423914e-10,1.8718842031972822e-09,2.535426535388296e-09,1.193060583659644e-08,1.758427736753276e-09,1.366841084760039e-09,3.8110696820581325e-09,9.064969219707564e-09,1.2475815047707782e-08,2.2223936468890312e-08,1.695376994348407e-07
Bier,1.3813813893000001e-05,1.3828298506e-05,1.2287743629e-05,1.2164144209e-05,1.4080756045000001e-05,2.0857185518e-05,2.1178184397e-05,2.3241242161000003e-05,2.7776675779000002e-05,2.1361709514000003e-05,3.4724256693e-05,3.462134191e-05,3.4631477319e-05,3.2356703741000004e-05,3.4710028558000004e-05,3.5449960705e-05
Amalfiküste,2.693351319749126e-09,5.712913697664135e-09,1.646709080205255e-08,1.381718206516779e-08,1.620411893554774e-08,3.864286668431305e-08,3.525381941926753e-08,1.724090026300473e-08,3.862280806288254e-08,2.1101133285128523e-08,4.8010292630351614e-08,2.874181603829129e-08,6.032324506577423e-08,6.13269008908901e-08,7.026183368452621e-08,1.223246641757214e-07
Forum,1.9503711882e-05,1.8915077816000003e-05,1.7595635654e-05,1.6919766494e-05,1.7144580851000003e-05,1.5044452993e-05,1.3837279766000002e-05,1.1146749784000001e-05,8.507937309000001e-06,8.131190043e-06,8.487912054e-06,7.599431228000001e-06,8.079359758e-06,6.48862624e-06,7.226027719e-06,7.042935521e-06
Anabolika,2.581769535936473e-07,1.965242404367018e-07,3.84598081382137e-07,2.326939068097999e-07,2.1221163137852267e-07,3.779755388677586e-07,2.3835325180243672e-07,2.276813120261067e-07,2.230416669135593e-07,2.767325781860563e-07,2.113477961529497e-07,1.494256878231681e-07,2.03879395144213e-07,1.600812424840114e-07,1.9249348781613662e-07,1.47491945767797e-07
Planwirtschaft,1.7626060750000002e-06,1.6967354660000001e-06,1.7703953290000001e-06,1.6574338130000002e-06,1.5948592130000001e-06,1.402011548e-06,1.1795989390000002e-06,9.923659263222362e-07,7.283736067620339e-07,1.211556764e-06,8.276222729364235e-07,7.088589200066053e-07,7.161325470406155e-07,5.080513005850662e-07,7.248422662087249e-07,6.603971201002423e-07
greenpeace,3.462880204807561e-09,2.285165612292417e-09,4.757159555168755e-09,5.966510396859803e-09,9.348529950159445e-09,3.6227687516543487e-09,5.927633051072689e-09,8.620450131502366e-09,7.886332475948166e-09,2.967346812710047e-09,7.85933629288138e-09,4.605042125405134e-09,4.614893356347238e-09,3.457153674446544e-09,2.735253801233739e-09,4.096998296176935e-09
Kreationismus,1.227398627179354e-07,1.093070878255275e-07,1.379576275439831e-07,2.0600161576567178e-07,2.041095825688899e-07,3.489933817490964e-07,2.2525006215801108e-07,2.702764732021023e-07,1.3002338050682727e-07,9.550460333684896e-08,1.571867187522002e-07,1.051219982173279e-07,1.4965439731895447e-07,1.737595454187612e-07,1.364207804499528e-07,1.1413067113608119e-07
Sonnenkollektoren,1.196617489540585e-07,1.0321330989881969e-07,1.0868280497788868e-07,1.391138937378855e-07,1.352420753164551e-07,1.388728065876421e-07,9.234628350895946e-08,1.0623437418644238e-07,1.243614065060683e-07,1.335306052396845e-07,1.1601063931721001e-07,9.241843201834854e-08,1.0531845617833818e-07,8.537666218444429e-08,8.769907822170353e-08,1.0730234123457189e-07
Atheismus,1.9165117910000003e-06,1.8685036590000002e-06,2.058752443e-06,1.7271477190000001e-06,1.7967875010000002e-06,1.789949692e-06,1.8469256700000002e-06,1.620137595e-06,1.6051720870000002e-06,9.881264304567594e-07,1.5182187090000001e-06,1.352612116e-06,1.8172790980000001e-06,1.37279062e-06,1.376174623e-06,1.070877374e-06
kkk,9.61911172936425e-09,7.617218855671126e-09,2.195612136546287e-09,5.966510396859803e-09,8.10205946777387e-09,7.849331851161878e-09,1.123130477509448e-08,7.606280050254101e-09,8.492973435636486e-09,3.297051964779029e-09,6.492494986076735e-09,2.540712973342351e-09,3.625987510247341e-09,7.515551736503312e-09,5.470507602467478e-09,9.754757890334531e-09
Hydratation,1.908431812580602e-07,3.275403912539332e-07,3.9228271475622023e-07,3.23447665095955e-07,1.972539820371821e-07,3.006898054991325e-07,1.8282068481312297e-07,2.603883046958799e-07,1.358875749701837e-07,6.852372962384834e-07,1.477896915957899e-07,1.3084671479646199e-07,9.27923196059055e-08,9.244128307273058e-08,9.55629317900275e-08,1.270069560632691e-07
Armageddon,1.0696452079628209e-07,2.052840386568277e-07,1.569862746464423e-07,1.26866851246632e-07,1.632876660551119e-07,1.328348560036829e-07,1.6597373075910582e-07,2.657127140537341e-07,2.35174482554612e-07,1.421029480752622e-07,2.3202127863442001e-07,2.158018048703525e-07,1.984404178756449e-07,1.724067431041476e-07,1.808686533877335e-07,1.917785397154148e-07
Reptilien,7.887671813477937e-07,1.0233733290000001e-06,9.122768460656516e-07,6.779840191484254e-07,1.0825598330000001e-06,1.1242658500000002e-06,8.41411917917867e-07,9.642227496442501e-07,1.3906233100000001e-06,1.5419212780000001e-06,1.135161483e-06,1.279407797e-06,1.222946707e-06,9.774726095201913e-07,9.007532639770943e-07,1.0461002370000001e-06
