,Unnamed: 0,fertility
875,vysoká škola,-0.9483591765332174
869,pc,-0.9479977278297956
990,Microsoft,-0.9366730432723016
74,závody,-0.9301217153510606
665,Autodesk,-0.9209980713667
529,daně,-0.9191247273710276
64,univerzita,-0.9180842617464868
76,Univerzita,-0.9180842617464868
737,Nvidia,-0.9176969595539696
853,plán,-0.9159449090701416
70,angličtina,-0.9056247088176418
615,Právo,-0.9011858137493168
842,UFO,-0.899036086185082
1060,glastonbury,-0.8946219506210847
997,Oracle,-0.893012339382729
626,noviny,-0.8914618524165722
652,Accenture,-0.884161320997145
977,HP,-0.8830900515554168
877,chemie,-0.8802044821461295
69,zeměpis,-0.879816271629238
714,IBM,-0.8763742598796226
466,Amnesty international,-0.8749419151017664
613,Lidové noviny,-0.8746427592660408
985,Linde,-0.8739780743502392
455,YMCA,-0.8732630726663391
506,crystal,-0.872291764073612
655,Adobe,-0.8708461924573307
614,MF DNES,-0.8702898570325407
470,Unicef,-0.8692718383845461
808,Sydney,-0.8666381598290248
468,hnutí duha,-0.8595092683234875
504,crack,-0.855677489769734
799,Paris,-0.8518574359761018
876,jazykový kurz,-0.8517409175325515
716,Intel,-0.8501118389879574
637,Chtíč,-0.8466876259925702
514,Marihuana,-0.8416057711762454
1039,Nový Zéland,-0.8407532052445374
690,Electronic Arts,-0.83711217292825
658,American Express,-0.8367562901246047
219,Matrix Revolutions,-0.8347264183299026
963,Corning,-0.8335615004207954
1023,Xilinx,-0.8321621637892217
452,goodwill,-0.8310281308733503
517,Zásoby,-0.8309884360744466
68,vzdělávání,-0.8295620962188005
242,Armagedon,-0.8289429973038612
848,FEMA,-0.8243770518338422
769,Western Digital,-0.8221808315837738
1000,PTC,-0.8192570026607392
