keyword,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
doxepin,5.166666666666667,12.5,10.833333333333334,2.5,3.083333333333333,3.333333333333333,1.75,0.8333333333333334,1.5,1.9166666666666667,1.75,1.3333333333333333,1.0833333333333333,0.9166666666666666,2.0,1.75,1.8333333333333333,1.75
Anafranil,19.25,15.5,20.58333333333333,14.333333333333334,14.5,12.416666666666666,13.916666666666666,13.416666666666666,12.5,12.166666666666666,14.666666666666666,13.333333333333334,11.833333333333334,13.583333333333334,11.916666666666666,12.916666666666666,11.833333333333334,13.916666666666666
clomipramina,16.083333333333332,9.916666666666666,9.25,2.75,2.4166666666666665,3.9166666666666665,5.083333333333333,3.333333333333333,4.333333333333333,3.6666666666666665,5.083333333333333,4.083333333333333,4.083333333333333,4.583333333333333,5.083333333333333,3.8333333333333335,4.583333333333333,3.083333333333333
bupropion,20.166666666666668,26.08333333333333,30.33333333333333,19.916666666666668,14.166666666666666,18.5,15.583333333333334,18.416666666666668,17.583333333333332,18.33333333333333,22.416666666666668,22.166666666666668,20.75,21.58333333333333,22.166666666666668,30.0,22.916666666666668,27.33333333333333
Rexulti,12.5,12.166666666666666,5.583333333333333,3.4166666666666665,1.75,2.4166666666666665,0.75,1.0833333333333333,0.9166666666666666,1.75,1.1666666666666667,1.0,1.1666666666666667,2.4166666666666665,0.8333333333333334,0.1666666666666666,0.3333333333333333,0.4166666666666667
Celexa,9.916666666666666,0.5833333333333334,3.0,2.333333333333333,0.4166666666666667,1.0833333333333333,1.5833333333333333,0.75,1.0,0.3333333333333333,0.75,0.8333333333333334,0.6666666666666666,0.4166666666666667,0.5,0.8333333333333334,0.4166666666666667,0.5833333333333334
Cymbalta,4.75,11.0,38.0,39.91666666666666,43.25,36.25,36.16666666666666,44.333333333333336,45.41666666666666,53.16666666666666,50.333333333333336,46.333333333333336,33.833333333333336,33.5,31.5,33.25,27.416666666666668,33.416666666666664
duloxetina,16.083333333333332,9.166666666666666,42.333333333333336,26.0,23.666666666666668,19.25,16.0,19.416666666666668,24.75,30.916666666666668,28.416666666666668,35.833333333333336,34.833333333333336,42.25,47.41666666666666,47.083333333333336,51.16666666666666,64.41666666666667
desyrel,23.33333333333333,9.666666666666666,8.083333333333334,5.5,8.083333333333334,3.25,1.1666666666666667,0.0,2.4166666666666665,2.1666666666666665,0.0,1.6666666666666667,2.9166666666666665,2.0,0.8333333333333334,0.3333333333333333,0.75,1.9166666666666667
trazodona,8.333333333333334,4.666666666666667,5.5,7.083333333333333,12.083333333333334,13.416666666666666,9.75,14.0,17.0,19.75,25.08333333333333,30.75,31.416666666666668,34.5,40.583333333333336,52.16666666666666,59.91666666666666,58.75
venlafaxina,25.58333333333333,40.333333333333336,17.583333333333332,14.083333333333334,14.416666666666666,18.166666666666668,22.916666666666668,32.416666666666664,37.333333333333336,43.25,41.41666666666666,44.16666666666666,37.5,39.333333333333336,41.583333333333336,47.833333333333336,43.41666666666666,49.41666666666666
emsam,20.58333333333333,11.0,4.583333333333333,1.0,1.75,2.6666666666666665,0.6666666666666666,0.5833333333333334,0.4166666666666667,0.0,0.0,0.9166666666666666,0.5833333333333334,0.1666666666666666,0.25,1.25,0.1666666666666666,0.8333333333333334
Selegilina,4.0,21.916666666666668,9.833333333333334,13.166666666666666,1.5,2.25,4.25,7.0,5.083333333333333,3.4166666666666665,3.75,4.333333333333333,1.25,0.75,2.6666666666666665,1.25,1.25,1.3333333333333333
spravato,13.0,10.416666666666666,18.416666666666668,0.0,3.083333333333333,2.4166666666666665,1.0833333333333333,0.3333333333333333,1.6666666666666667,2.9166666666666665,1.3333333333333333,0.5,0.0,1.6666666666666667,0.0,0.6666666666666666,1.0,2.0
amitriptilina,30.666666666666668,11.25,25.5,22.916666666666668,17.083333333333332,21.666666666666668,22.0,16.333333333333332,17.25,18.916666666666668,23.83333333333333,24.33333333333333,20.416666666666668,23.666666666666668,23.83333333333333,30.166666666666668,30.25,35.583333333333336
elavil,5.916666666666667,8.833333333333334,11.416666666666666,11.416666666666666,6.583333333333333,6.166666666666667,5.25,0.0,1.6666666666666667,1.5,2.4166666666666665,3.25,1.75,1.3333333333333333,1.5833333333333333,4.5,1.8333333333333333,2.583333333333333
endep,18.33333333333333,19.5,3.083333333333333,1.6666666666666667,4.75,1.3333333333333333,1.6666666666666667,0.4166666666666667,0.4166666666666667,0.25,0.0,0.25,0.0,0.5833333333333334,0.6666666666666666,1.6666666666666667,0.4166666666666667,0.5
desvenlafaxina,15.583333333333334,3.0,3.0,4.5,1.25,3.5,0.3333333333333333,1.1666666666666667,0.5,1.9166666666666667,4.416666666666667,3.8333333333333335,3.9166666666666665,4.666666666666667,5.666666666666667,6.583333333333333,5.5,6.416666666666667
latuda,18.666666666666668,22.5,13.333333333333334,13.833333333333334,2.4166666666666665,2.9166666666666665,0.0,3.5,2.75,0.6666666666666666,0.6666666666666666,1.6666666666666667,3.0,1.5833333333333333,1.25,2.4166666666666665,8.916666666666666,11.916666666666666
lurasidona,11.666666666666666,7.666666666666667,3.583333333333333,4.083333333333333,3.583333333333333,0.0,1.0833333333333333,1.4166666666666667,0.5833333333333334,0.8333333333333334,0.8333333333333334,1.0833333333333333,1.0833333333333333,0.5,1.0,1.0,1.8333333333333333,3.583333333333333
