,fertility
Octoberfest,0.6702777499012994
melatonin,-0.10700865013978472
newsday,0.7956147923374117
kindergarden,0.1648623237451378
Methodist,0.8966953344449478
Anabolics,-0.15949787634990711
college,0.7641496116293042
Berkeley,0.869188416583161
Lutherans,0.6220485846795252
university,0.3821524133827157
lamotrigine,0.16084265806982515
Weed,0.8549324935376541
Walmart,-0.903533243917143
Caffeine,0.34372307304376815
goodwill,0.8570952492793458
therapist,-0.32335340501087867
Whiskey,-0.6659057442413392
coffee,-0.8517672751976412
starbucks,-0.6326847105590498
venlafaxine,0.5788189943779939
