keyword,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
autismo,9.27962616970035e-07,8.863682978699217e-07,1.038909999e-06,7.812271860530018e-07,9.047899425240757e-07,1.623487037e-06,1.108586616e-06,1.6022730730000001e-06,1.8199446000000001e-06,1.659157192e-06,2.310382569e-06,2.508679926e-06,2.353250238e-06,4.266898031e-06,3.82205917e-06,3.0347978280000003e-06
nintendo,3.016473826278343e-08,2.242527052942478e-08,2.737060711410777e-08,2.20810392193016e-08,1.7497496784812928e-08,2.5290148641943233e-08,1.343741296011558e-08,8.09228772880033e-09,3.027528805432666e-08,1.890256307035542e-08,2.394938647398703e-08,1.422787931915081e-08,9.325958671979606e-09,5.821143567175113e-09,4.817047205563085e-09,7.838738547150115e-09
disney,6.350471259963797e-09,3.420803862397292e-09,4.6921040386394e-09,3.091345623928987e-09,1.354644929563164e-08,7.0250409933692035e-09,2.986091818257819e-09,2.899736628592109e-08,9.13970943372533e-09,1.158544105095416e-08,5.865155472406513e-09,9.146493340494999e-09,3.6267617797847156e-09,1.058389731412035e-08,4.817047205563085e-09,6.029798882423165e-09
eBay,2.405240877578762e-07,1.5849724377403607e-07,2.866093495867972e-07,2.8528702955554763e-07,3.437411635331955e-07,3.877822791764629e-07,4.2999721472369846e-07,4.83514213556191e-07,7.934410177767859e-07,4.542712588317954e-07,9.741046369526885e-07,4.4970261114940513e-07,4.5645387558579376e-07,4.3976092456432514e-07,6.187229359966295e-07,4.576617413931672e-07
Metodista,2.4647766849739133e-07,2.8050592959516497e-07,7.014695597717946e-07,2.627643596042617e-07,2.805243752845854e-07,2.894316821766551e-07,1.918564009883994e-07,1.9960977226673998e-07,2.496283002528798e-07,1.987817910276135e-07,1.82308582452606e-07,1.620961853632252e-07,1.5543264453299338e-07,1.0372219350074369e-07,1.776955258492307e-07,1.097423378837447e-07
pistolas,2.3790453260000003e-06,2.419268639e-06,2.5255249050000002e-06,2.5446190640000003e-06,2.5139952410000004e-06,2.70955843e-06,3.385481704e-06,4.005008122e-06,4.473316494000001e-06,4.609786174e-06,4.544518105e-06,4.712984718e-06,4.112229817e-06,3.816553089e-06,4.0511367840000005e-06,3.633556843e-06
Creacionismo,7.73963719780113e-08,7.867848950127154e-08,6.608046732026196e-08,6.447663736253162e-08,9.200297057532225e-08,8.640800785997271e-08,6.942663333120436e-08,9.103824538669869e-08,5.198209862555814e-08,4.878080517300987e-08,4.9853824179990625e-08,2.5915065648973723e-08,1.07766638279827e-07,2.751813177326312e-08,4.8705700805840024e-08,2.2913235753208018e-08
venlafaxina,6.350471437599481e-08,6.917625938740457e-08,2.025424947760257e-07,1.9122180106023729e-07,1.529619879647725e-07,1.7632852689075662e-07,2.366477787063559e-07,2.0028413416639518e-07,8.22573866798848e-08,8.658592776100704e-08,1.510277627403411e-07,9.807073553247392e-08,1.336720742983743e-07,4.02188078396648e-08,4.121251606648002e-08,6.029799237694533e-08
éxtasis,4.954161340000001e-06,4.5120405040000006e-06,4.702270416e-06,4.789819286e-06,4.947276011e-06,5.373453859000001e-06,5.645206783e-06,6.2897311180000005e-06,7.106124030000001e-06,6.715287781e-06,7.126653144e-06,6.947778274e-06,6.7965515880000004e-06,6.125959771e-06,6.778120678e-06,7.115162588e-06
Barcelona,0.00011652043031000001,0.00011335403542000001,0.00011446270218500001,0.00011365773389100001,0.000115834562166,0.00011308770626700001,0.00011464800627400001,0.000102683719887,8.0378034908e-05,8.359749335700001e-05,8.768603584000001e-05,8.0686811998e-05,7.9815181379e-05,7.9625831858e-05,8.3558639744e-05,7.747206109300001e-05
Oxandrolona,1.587617814990949e-09,7.601786422561929e-10,1.9550432384107803e-09,8.832415909765245e-10,1.693306161953955e-09,5.620032883513204e-09,1.1197844429489122e-08,3.3717868497262775e-09,5.1410866674928e-09,4.878080606118829e-09,1.9550518981503732e-09,2.032554125008801e-09,3.108652890659868e-09,5.291948657060175e-09,1.070454946905385e-09,6.029798882423165e-10
