Keyword,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
tabac,1.4134881894000001e-05,1.3795759514000001e-05,1.2392414646000001e-05,1.4458308214000001e-05,1.3799847693e-05,1.3027708519000002e-05,1.3572543139e-05,1.4934589671000001e-05,1.6492882423e-05,1.4116420061000002e-05,1.5830624761e-05,1.4282359188000001e-05,1.3697480426e-05,1.2117980986e-05,1.2850588973000002e-05,1.2460373909e-05
football,8.62861998e-06,8.603625246000001e-06,1.1104857549e-05,9.065272024e-06,1.1570023161000002e-05,9.596663403e-06,1.3661956472000001e-05,1.1240757885000001e-05,1.1573602023000002e-05,9.675490218e-06,9.686477824e-06,9.335869435000001e-06,9.312650036000001e-06,1.0386122994000001e-05,1.1539104889000001e-05,1.0269916856e-05
Monster,1.634886785950584e-07,1.803183096171778e-07,1.2154058026681009e-07,1.0218032997499899e-07,1.297805312105993e-07,1.5095203309556382e-07,9.583524729350756e-08,2.404932217814348e-07,1.855658950944416e-07,2.1955818851893117e-07,1.826435607199528e-07,1.501617248322873e-07,2.0979634030027217e-07,2.7722427375920233e-07,2.487718973043229e-07,2.144822843774818e-07
Cosmopolitan,1.0608393807842731e-07,8.546336260906173e-08,1.073680024887835e-07,1.576496515554026e-07,1.511143068455567e-07,1.140858643111641e-07,1.1905306251946961e-07,1.280496348954329e-07,1.637975799440028e-07,1.855998448263562e-07,1.769572861576307e-07,1.564475695658984e-07,1.51471212461729e-07,1.4972226836107428e-07,1.2873130117441168e-07,1.500570760981645e-07
bbc,7.072262775409399e-08,1.408736771679741e-08,1.030732832418834e-08,1.1677752098648851e-08,6.666807994548663e-09,1.2454788311799801e-08,6.421949638735214e-09,1.2804964200086031e-08,3.568574769019505e-09,3.8056753304260846e-09,5.91373927605332e-09,7.68269359241458e-09,4.5702521767054805e-09,9.258444677584521e-09,2.9874354101622203e-09,2.952822431012691e-09
football,8.62861998e-06,8.603625246000001e-06,1.1104857549e-05,9.065272024e-06,1.1570023161000002e-05,9.596663403e-06,1.3661956472000001e-05,1.1240757885000001e-05,1.1573602023000002e-05,9.675490218e-06,9.686477824e-06,9.335869435000001e-06,9.312650036000001e-06,1.0386122994000001e-05,1.1539104889000001e-05,1.0269916856e-05
HAARP,7.347805475177439e-09,7.043683858398709e-09,1.030732832418834e-08,2.085312811317408e-09,9.777984644188109e-09,9.963830649439842e-09,1.975984487145865e-09,2.9611479490654343e-08,3.318774588478845e-08,1.170977004250062e-08,1.614905720259685e-08,2.002156307412406e-08,3.460333886096123e-08,5.872498931580594e-08,5.3230667873549464e-08,3.221260769237233e-08
eBay,5.180202720111993e-07,2.080234651202772e-07,3.5216706351093313e-07,6.510346679533541e-07,3.213401384982717e-07,3.557087495664746e-07,5.364797743823146e-07,6.070353606446588e-07,5.741836730521754e-07,4.774658464157255e-07,4.612716679730511e-07,6.202028544066707e-07,3.6997278130002076e-07,5.018076763008139e-07,4.47843717665819e-07,3.355480089339835e-07
célibat,3.203643245e-06,2.374660653e-06,2.304546796e-06,2.302185521e-06,2.221824843e-06,2.43167301e-06,2.1963066950000003e-06,2.2756821630000003e-06,2.131866722e-06,2.40635768e-06,2.5906726930000004e-06,2.1073860800000003e-06,2.193721002e-06,2.1140997430000002e-06,2.0920194850000003e-06,2.4358100740000004e-06
hockey,7.857559580770612e-07,6.132700605121499e-07,1.2119700150000002e-06,9.283813255933637e-07,1.185358428e-06,9.256398811885447e-07,1.136191031e-06,1.6462381600000002e-06,1.3888893590000002e-06,1.2450412890000001e-06,1.1827478370000001e-06,1.2425009570000002e-06,1.3504006800000002e-06,1.510978108e-06,1.4920881310000001e-06,1.554795289e-06
