keyword,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
octoberfest,1.103897950827104e-08,1.040962605003414e-08,1.050712583605673e-08,7.983635974539993e-09,5.947406567230473e-09,5.4039008823281165e-09,6.38692165821908e-09,6.185271850256413e-09,6.38896624494123e-09,4.499192129969742e-09,5.556949123075583e-09,5.083544252215688e-09,7.3041461767786595e-09,5.7464988323374655e-09,3.991543540138309e-09,6.264743834805131e-09
melatonin,6.04091269451601e-07,8.709887993063603e-07,8.008162808437191e-07,1.045644353e-06,8.206725397030823e-07,9.576432375979493e-07,9.743060900291312e-07,1.007273453e-06,1.5125006020000002e-06,8.990360242933093e-07,9.452663221054536e-07,8.117971788124123e-07,1.0145271280000001e-06,7.924349461063684e-07,8.019200663511583e-07,9.152221309705055e-07
newsday,1.455299547536981e-09,1.390455417471514e-09,1.6609201791695221e-09,1.201077903800751e-09,1.14774512116611e-09,1.945404282110985e-09,8.265428341758252e-10,7.407511271040335e-10,6.679373720785975e-10,8.310609422856885e-10,6.499356053346617e-10,7.849590422104313e-10,6.742288394256946e-10,4.728132330100722e-10,8.363233994224117e-10,4.819033505576442e-10
kindergarden,6.389119899807838e-09,5.862460739081143e-09,4.946653753279406e-09,4.345076298761796e-09,4.660540842138516e-09,1.044754149859272e-08,5.860939733537407e-09,6.037121913493593e-09,5.372539746417715e-09,7.594177731107266e-09,4.062097325174818e-09,3.289352346058649e-09,3.6708016626363364e-09,3.600654441271444e-09,5.778234335451771e-09,5.7828404287363355e-09
Methodist,5.481474545e-06,5.7155234570000004e-06,5.449298896000001e-06,4.924066161e-06,4.892628567e-06,5.189257990000001e-06,4.7687763070000005e-06,4.023389919000001e-06,3.5494772410000004e-06,3.893893335e-06,3.946538981e-06,4.0950940270000004e-06,4.4377743500000004e-06,3.5311145430000003e-06,3.138873807e-06,3.319700908e-06
Anabolics,9.228728892196614e-10,1.127396287436965e-09,1.155422757470603e-09,1.165752161469413e-09,9.042840365403038e-10,7.925721190460422e-10,1.164673912867897e-09,5.92600912785457e-10,1.887649148102355e-09,2.14929563036037e-09,1.072393729373288e-09,1.8689501057878033e-09,9.738860828889528e-10,4.364429651015911e-10,1.558602691353883e-09,1.051425502218705e-09
college,5.2530031098e-05,5.1336104661000005e-05,5.024012716600001e-05,4.9798032705000004e-05,4.7841389459e-05,5.0930721045e-05,5.009281449e-05,4.9137543101000005e-05,4.3305168219e-05,4.4099790102000006e-05,4.8292586143000006e-05,4.8466139560000004e-05,4.870562042900001e-05,4.3072919652000004e-05,3.9156737329e-05,4.2486964957000006e-05
Berkeley,1.6405201677e-05,1.6576972484e-05,1.546504427e-05,1.5449853890000002e-05,1.5196979802000001e-05,1.4563512195000002e-05,1.3589303307e-05,1.2399248589e-05,1.2437313671000001e-05,1.3633411981e-05,1.2260417861e-05,1.3094761925000001e-05,1.423604317e-05,1.2779195458e-05,1.1661997632000001e-05,1.1950896805000001e-05
Lutherans,7.365590590779902e-07,6.804212375755014e-07,7.417814344989893e-07,7.076468477862363e-07,6.934119483048562e-07,6.865115551590861e-07,6.243779466785783e-07,5.834156127093593e-07,4.871877195000707e-07,5.128505904394842e-07,4.977856633558986e-07,6.60150590192643e-07,7.375689392574714e-07,6.97363134349871e-07,4.977644607606635e-07,4.976747618457011e-07
university,3.9049627957e-05,3.8314374251e-05,3.7911802792e-05,3.6514535167000006e-05,3.3647851523000005e-05,3.5492532333000006e-05,3.5706234484e-05,3.3526768675000005e-05,3.1475734431000003e-05,3.4347922337000004e-05,3.5013101296e-05,3.6961777368e-05,3.9929520426e-05,3.4176940971000004e-05,3.1450130336e-05,3.5779004974e-05
lamotrigine,2.0260608835087618e-07,2.485533059370937e-07,2.584897345059289e-07,2.909081331381458e-07,3.508969825816166e-07,2.776524183900619e-07,2.727966830207151e-07,3.455233752447384e-07,3.444524168116913e-07,2.172508004605333e-07,2.3504919965944282e-07,4.499310648498067e-07,2.533227529966098e-07,2.3189669207113179e-07,2.145549586884954e-07,1.9644133431029331e-07
Weed,1.811244487e-06,1.5381443740000002e-06,1.5849511780000002e-06,1.7656199130000002e-06,1.3266890160000001e-06,1.212275037e-06,1.118725663e-06,8.419747814514267e-07,1.0652729540000001e-06,8.987781257019378e-07,8.284728778562567e-07,7.026504817986279e-07,6.719439511471137e-07,8.756500733397843e-07,1.0484453690000001e-06,7.856777415327089e-07
Walmart,6.467209345828451e-08,7.136418389563914e-08,9.5936194099977e-08,6.715438871651713e-08,8.093341818948829e-08,2.2840487190478587e-07,6.676963266727398e-07,1.1110896590000001e-06,1.2008642890000002e-06,1.173515443e-06,1.4131225040000002e-06,1.4818531320000002e-06,1.687969415e-06,1.4057827680000001e-06,1.197805204e-06,1.261404008e-06
Caffeine,5.317167506291298e-07,4.911314022137958e-07,6.531388407893246e-07,4.099914860944409e-07,4.499856345319131e-07,4.394452162159723e-07,4.900271619590059e-07,4.787845000464586e-07,5.744552140640735e-07,4.963726496498566e-07,4.96290795126697e-07,5.375848104449689e-07,4.63944360262758e-07,4.046553669923014e-07,3.423603800456476e-07,4.72747217372671e-07
