,Cathegory,Corr
0,Antidepressants,0.0793692011468613
1,Cars,-0.47357091824965314
2,Conspiracy Theories,-0.02282309277446441
3,Consumerism,-0.4377732952859785
4,Contraceptives,-0.1302316825819454
5,Crime,0.29934231287703295
6,Education,0.40173596716252735
7,University,0.6433585915143237
8,Emigration,-0.7602673815812886
9,Entertainment,-0.011410148220886599
10,Environmentalism,0.03585108697073689
11,Gambling,-0.08942044375657486
12,Games,-0.17953191062951207
13,Guns,-0.26717772168202275
14,Healthcare,-0.2412435720236981
15,Housing,-0.03500585421733082
16,Charities,0.29365805699966
17,Ideologies,0.11566702409975974
18,Ideology,0.0337483361827412
19,Illegal Drugs,-0.29625671960241345
20,Investing,-0.36046865142572837
21,Jobs,-0.37958578059121884
22,Legal Drugs,-0.29975990921804113
23,Low income,-0.004059833054049231
24,Marriage,-0.1508921640582923
25,News,0.1758130393522154
26,Other,0.268789102986104
27,Religion,0.0009640477486764116
28,S&P 500,0.10836746619748687
29,Sports,-0.3470479903535015
30,Stats,-0.9361083819572976
31,Steroids,0.25016616465845287
32,Tourism,0.133090955260616
