keyword,fertility
clomipramine,-0.5230184917053342
Cymbalta,-0.6485178395981891
venlafaxin,-0.5725117545522366
spravato,-0.7014683007441078
zoloft,-0.3465964315483038
xanax,0.21641325081389914
Alprazolam,-0.588414397278605
prodej automobilů,-0.7610568856245391
cena plynu,-0.5773663084681625
cena benzínu,-0.2369614027885982
cena nafty,0.5602219501854497
leasing,-0.5742093590711664
tesla model s,-0.10821575141692821
tesla model 3,0.5659766793233436
řidičský průkaz,0.6272026982469356
první auto,-0.36122555538237755
mercedes benz,0.7963502823580083
vw,0.9323766750116658
volkswagen golf,0.6550647231977444
peugeot 208,-0.09625215965223864
dacia sandero,0.34538223961532727
chevrolet silverado,-0.6907600610091628
Chemtrails,-0.7382108772856081
Oblast 51,-0.6552132260104168
jeffrey epstein,-0.3543680430675608
Epstein,-0.3032840116923221
Tábory Fema,-0.6184498709056244
Tea party,-0.6180076375769372
Frankfurtská škola,-0.7309946893519587
Deep state,-0.5035985164539608
fluorid,-0.3780365127769393
MKUltra,-0.7070939136689367
Plochá Země,-0.6107829933787813
doxepin,-0.6428488217843575
Anafranil,-0.787078565252784
Celexa,-0.7034513173387406
duloxetin,-0.6886779448026212
paroxetin,-0.6153993063280853
prozac,-0.7947259608965852
fluoxetin,-0.6935600493578716
vortioxetin,-0.7702003319094957
wellbutrin,-0.7014061213313412
bmw řady 3,-0.7344521037701808
Svobodné zednářství,-0.66206231142542
Antifa,-0.5999940959591284
assange,-0.6060182238125695
wikileaks,-0.10073090729671878
Edward Snowden,-0.5893649381027393
Přistání na Měsíci,-0.6227262826287902
Tsoukalos,-0.7099954099632518
reptiliáni,-0.6947573493376689
ku klux klan,-0.6669994102776488
ps5,0.4085944231609935
costco,-0.32977141281060784
tesco,0.9084878451880706
whole foods,-0.6068400176187815
dollar general,-0.7397404299869998
mac,-0.6334573917446802
ikea,0.9504631571819907
kondomy,0.07005882907812987
pilulky,-0.14293965896197577
antikoncepce,-0.06491156392773127
vasektomie,-0.5333495215982678
Rigevidon,-0.7272174037103031
univerzita,-0.9180842617464869
mateřská škola,0.817509951562008
škola,-0.7555025678117298
střelba ve škole,-0.6178006960342723
vzdělávání,-0.8295620962188005
zeměpis,-0.879816271629238
angličtina,-0.9056247088176418
německy,0.9337576721506474
výpočet,0.5539949476716889
závod,-0.8137399354234249
závody,-0.9301217153510606
Univerzita,-0.9180842617464869
Harvardova univerzita,-0.6336277384429359
Stanfordova univerzita,-0.6264124325160293
Oxfordská univerzita,-0.6116634428760844
Caltech,-0.6637085116327002
UCB,0.7123995464459348
Kolumbijská univerzita,-0.6649556608487058
Univerzita Johnse Hopkinse,-0.7241279064274991
Imperial College London,-0.6346349816747325
University of Toronto,-0.7615081239010968
Duke University,-0.7779076651542186
NUS,-0.8016796945673073
University of British Columbia,-0.604850273810413
LMU,-0.5869095017116129
TUM,-0.6363022755573797
KU Leuven,-0.7782048280175959
Carnegie Mellon University,-0.7884675718642457
UCSB,-0.7699339026908368
Brown University,-0.6017476538021143
Ohio State University,-0.8040464774306374
University of Glasgow,-0.7189184735714003
Uppsala University,-0.5511273882049158
LSE,-0.7757517768037587
Trinity College Dublin,-0.6290563920701898
Newcastle University,-0.5719352140103221
Cardiff University,-0.6057982841438263
KIT,-0.8096240959019041
Wuhan University,-0.6608048121532357
Georgetown University,-0.7443162952743426
USP,-0.7028549446976801
KAU,-0.719832288981377
NTU,-0.6114313388650747
University of York,-0.7389851981016089
UEA,-0.7348554009539037
UIC,-0.5289911117938049
FAU,-0.6680627007326707
Griffith University,-0.7466268192705228
University of Otago,-0.6194668712566046
UBA,-0.7238266185374019
studentské půjčky,-0.48402344653993645
stipendium,-0.08025638845217921
netflix,0.5877276165744983
Manga,-0.2746464089688088
Anime,0.6258476269905965
disney,0.5918928020584742
Avatar,0.008657744887958545
Piráti z Karibiku: Na konci světa,-0.5501201739497908
Spectre,0.2923038071654617
Temný rytíř povstal,-0.3790419675377463
John Carter,-0.4281181058825044
Spider-Man 3,-0.4973435607860938
Na vlásku,-0.312568892430496
Harry Potter a Princ dvojí krve,-0.3355126087492357
Quantum of Solace,-0.2003372687019213
Piráti z Karibiku: Truhla mrtvého muže,-0.756512956670702
Osamělý jezdec,-0.2773014635913955
Muž z oceli,-0.6860534041917384
Letopisy Narnie: Princ Kaspian,-0.5579623583791553
Avengers,0.6667713726574993
Piráti z Karibiku: Na vlnách podivna,-0.5598730164294046
