,fertility
doxepin,0.13872604996798854
clomipramine,-0.6102530829025926
bupropion,-0.05329014855113716
asendin,0.060130510254189064
amoxapine,-0.018769532769550578
Celexa,0.3690634296792968
Cymbalta,0.18018549764658132
duloxetine,-0.9480762397465751
desyrel,0.22505071672417679
trazodone,-0.14307344964700983
venlafaxine,-0.8466665581045855
emsam,0.28371189464949614
escalade,-0.48753690925006693
spravato,-0.09243919087628721
amitriptyline,-0.7912058654682056
elavil,-0.0591611572848759
endep,0.3983721704764587
latuda,0.021599461671010192
lurasidone,0.023223205717622195
lamictal,-0.7492347929875592
lamotrigine,-0.9174400171173621
lexapro,-0.0821235769941507
chlordiazépoxide,0.02813236223407919
paxil,0.10688322562053398
paroxétine,-0.09307888558806932
prozac,0.09959209194227589
fluoxétine,-0.036483289647422326
pristiq,0.1792300563158536
quétiapine,-0.6414867848454798
sinequan,0.020121236138224047
tofranil,0.29437304283771004
imipramine,0.029095567879747746
trintellix,-0.04214781798934694
vortioxetine,-0.5648133091391245
wellbutrin,0.11333667269854897
zoloft,-0.06970547860295563
sertraline,-0.8930285707910172
zyprexa olanzapine,-0.15472625083581568
xanax,-0.8047115887241909
vente de voitures,0.2591592357975114
prix du gaz,-0.2784637302457329
prix de l'essence,-0.15722829420396076
prix du diesel,-0.5610412397660808
financement de la voiture,-0.08654954937553264
leasing,-0.956518864413226
tesla modèle 3,-0.252848643754312
bmw 3 series,-0.4902349095679369
car license,-0.2995323380960856
mercedes benz,0.45291473923742365
bmw,-0.6558324336290867
volkswagen,-0.5439575965782157
vw,0.275272930467255
volkswagen golf,0.34235860348086666
dacia sandero,-0.6408884455488317
skoda octavia,-0.8737592969715393
ford f150,-0.8641608998411803
ram pickup,-0.15066979049694873
chevrolet silverado,-0.45622283764874044
autisme,-0.8712080226386608
Chemtrails,-0.057914009220494306
Nouvel ordre mondial,-0.1736899902637375
George Soros,-0.728427469157267
Soros,-0.783577484564152
Franc-maçonnerie,0.22798310053258664
Zone 51,-0.2211251873321715
OVNI,0.6915034472878697
les hommes en noir,-0.1091238482805067
Cercle de culture,0.035277481058304486
911,0.4139557515001537
Sandy Hook,-0.3692248967506211
Mort de Jeffrey Epstein,-0.023727842354121825
jeffrey epstein,-0.6476226170636579
Epstein,-0.6747782144668835
FEMA,-0.048078301720085044
Camps Fema,0.0027330665293292585
Marxisme culturel,0.030751694410672374
Tea party,0.49915654570915075
État profond,-0.11431589653077952
QAnon,-0.6708969878413537
Antifa,-0.3596363502543045
fluorure,-0.3184456601138794
HAARP,0.7074371166989455
Projet Monarch,0.08700059167165222
Terre plate,-0.761664086882823
assange,-0.5088671319642429
wikileaks,0.392300719980062
snowden,-0.627021147674059
Atterrissage sur la Lune,-0.07015208574515028
acteurs de la crise,0.07030963154599802
erich von däniken,0.041108402291505045
Danemark,-0.6370425867024322
Giorgio A. Tsoukalos,0.12142513932159317
Tsoukalos,0.07644106737950775
reptiliens,-0.02216956208780129
le plan,0.887408590378563
eurabie,-0.03805809511040503
ne rien savoir,-0.7532036282824464
kkk,0.34442383005797017
ku klux klan,-0.18923271562773594
Malcom X,0.3284781493281279
Martin Luther King,0.003205720084332874
ps5,-0.6788091982599567
ps4,-0.7833973282694591
xbox one,-0.6154205473526541
xbox série s,-0.4784389156596003
xbox série x,-0.6262024655731824
nintendo,-0.24821293417185747
lidl,-0.894622751190306
walmart,-0.6070583904203701
costco,-0.8343499786754189
tesco,0.6283034590441066
kaufland,-0.9000389738294358
iphone,-0.07662235171754735
mac,0.8562310911201585
samsung,-0.2588837624693882
ikea,-0.40607253749236466
préservatifs,0.3250624862086081
contraceptifs,0.27573242750783317
vasectomie,-0.6898774228169432
comment se retirer,-0.6930572798947283
après la pilule,-0.2350641864791877
Rigevidon,0.006558933214790369
Postinor,0.16064516842738832
Plan B,0.09841784148536639
ma femme me bat,0.2910830447289341
Police scolaire,-0.07995711357544522
éducation,0.1061704873655926
université,0.28728463425106204
collège,-0.7832172334188342
jardin d'enfants,-0.02181976208554514
école,0.015105931790817926
maths,0.1324046572695526
géographie,0.2821390325106511
chimie,0.2685731971732136
allemand,-0.9327432365285783
calculs,-0.3297948800554971
collège communautaire,0.1459657538996609
course,-0.41174371209637806
management courses,-0.15010184822548103
management course,-0.11345448328065666
Scio,0.6922555064086128
Un niveau,-0.5401064618294762
Université,0.28452224572027657
Université de Harvard,-0.1324999390369675
MIT,-0.35763232146531737
Université de Stanford,-0.23246371377438488
Université de Cambridge,-0.03936429077389157
Institut de technologie de Californie,0.007069931940814307
Caltech,0.2863596581219695
Berkeley,0.22224805421882715
UCB,0.22083796241279044
Université de Chicago,-0.0400635622708516
Université de Columbia,-0.07092443022012515
Université de Yale,0.13528372145540365
Université de Pennsylvanie,0.0343465006197239
UCL,-0.4720956841334461
Université Johns Hopkins,-0.1161926787838387
ETH Zurich,-0.09603883320503857
Université de Toronto,0.0023616541660565283
Université de Californie,0.015335787982886016
UCLA,0.2602172576979208
Université du Michigan,0.09894283982212113
Université de Duke,0.2334757669944232
Université de Washington,-0.004132579839867534
NUS,0.3556437603916089
King's College London,0.1176151098358836
Université de Tokyo,0.3489077848579445
Université de Manchester,0.19721233282383716
NTU,0.31144209647618726
LMU,0.15553987324329285
Université McGill,0.4609564569455345
Université de Sydney,-0.004637962017420313
TUM,0.4615400019826808
EPFL,0.08543275905174351
Université de la Sorbonne,-0.060900667577980516
Université Monash,0.03432372912845322
Université de Copenhague,0.46655591105936695
KU Leuven,-0.689209448000202
Université Paris-Saclay,-0.18834246795314682
CUHK,-0.0863521230960746
Université de Zurich,-0.024616671086358115
Université de Californie du Sud,0.009459668339838129
Université de Boston,-0.042607879926597224
UCSB,0.11577791890058585
Université PSL,-0.5087354606230462
Université de Glasgow,0.05002728422540868
Université polytechnique de Hong Kong,0.31256026037307727
Université de Montréal,0.4497274079117357
LSE,0.38464401758334604
Université de Pittsburgh,0.06677168452132892
Université de Genève,0.34742170186077753
Université de Floride,0.0014226868146018229
Université de Virginie,-0.008452743368472614
Université de Barcelone,0.1341142283609303
Université de Vienne,0.06120107869073917
Université de Lausanne,0.045626500777340116
KIT,-0.9493711342924845
Université de Calgary,0.19346912801419222
QUT,0.05603430081515133
Institut Polytechnique de Paris,-0.07249058670637037
UEA,0.3478621010899112
Université Grenoble Alpes,-0.8335126660137879
Université de St Andrews,0.12504661197893438
UIC,0.3734742214929806
FAU,-0.16583141398380552
UON,-0.011847520013887034
Université de Corée,-0.06350130191665139
Tokyo Tech,-0.04094292207661211
Université de Milan,0.11001816426150983
Université George Washington,0.04160558315177014
UBA,-0.6803935198429935
POSTECH,0.03262309515733043
SKKU,0.11890774056734373
École Normale Supérieure de Lyon,0.08650135488465771
ENS de Lyon,-0.05507870014146204
prêts étudiants,0.291209494529274
netflix,-0.9128285019599198
vapeur,-0.8222532431604892
