Cathegory,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Antidepressants,166.93333333333334,166.93333333333334,166.93333333333334,166.93333333333334,18.109259259259257,17.203703703703702,15.38888888888889,14.814814814814813,12.46851851851852,12.511111111111111,13.401851851851852,14.603703703703703,15.175925925925926,16.011111111111113,17.129629629629626,17.81111111111111,15.811111111111112,17.47407407407407,18.616666666666667,19.52037037037037,19.65740740740741,20.279629629629632
Cars,244.95454545454547,244.95454545454547,244.95454545454547,244.95454545454547,30.022727272727273,27.86742424242424,25.579545454545453,24.939393939393938,25.9469696969697,29.4280303030303,27.90909090909091,30.124999999999996,31.59090909090909,35.39393939393939,36.44318181818182,38.95833333333333,37.46969696969697,40.484848484848484,38.803030303030305,40.68939393939394,38.43181818181818,38.09848484848485
Charities,579.04,579.04,579.04,579.04,37.33,32.86666666666667,31.263333333333332,28.566666666666666,27.386666666666667,26.313333333333336,27.04,27.616666666666664,27.1,26.67,26.96,27.386666666666667,25.15333333333333,25.15333333333333,23.656666666666666,24.07333333333333,24.199999999999996,24.576666666666664
Conspiracy Theories,198.75555555555556,198.75555555555556,198.75555555555556,198.75555555555556,23.107407407407404,19.48148148148148,17.418518518518518,15.566666666666666,15.294444444444444,15.027777777777779,14.53148148148148,17.394444444444446,16.944444444444443,16.45925925925926,16.679629629629627,16.516666666666666,17.825925925925926,17.166666666666668,17.014814814814812,16.605555555555554,19.159259259259258,15.661111111111111
Consumerism,311.57142857142856,311.57142857142856,311.57142857142856,311.57142857142856,20.55952380952381,22.428571428571427,21.8531746031746,23.539682539682538,25.571428571428573,27.682539682539684,32.45238095238095,31.761904761904763,32.11904761904762,34.7063492063492,34.64682539682539,33.888888888888886,33.654761904761905,33.269841269841265,31.964285714285715,31.48015873015873,36.93253968253968,34.88492063492064
Contraceptives,117.5,117.5,117.5,117.5,34.73958333333333,33.9375,30.552083333333332,28.260416666666664,29.510416666666668,31.395833333333332,37.11458333333333,35.61458333333333,36.395833333333336,37.604166666666664,36.635416666666664,41.072916666666664,37.354166666666664,36.09375,34.770833333333336,35.36458333333333,33.895833333333336,34.177083333333336
Crime,745.0,745.0,745.0,745.0,7.583333333333334,13.75,10.791666666666668,3.2083333333333335,3.8333333333333335,7.708333333333333,2.5416666666666665,9.75,6.875,6.958333333333333,7.375,7.791666666666666,6.25,5.416666666666666,3.4166666666666665,5.916666666666667,3.333333333333333,3.5416666666666665
Education,237.0,237.0,237.0,237.0,48.37301587301587,46.30952380952381,40.90079365079365,39.09126984126984,38.82142857142857,38.59126984126984,38.166666666666664,42.329365079365076,41.698412698412696,41.166666666666664,41.317460317460316,41.62698412698413,41.34920634920635,41.25,41.32142857142857,40.41269841269841,40.492063492063494,38.55555555555556
Entertainment,418.45,418.45,418.45,418.45,14.457575757575757,12.088636363636363,10.934848484848484,10.914772727272727,10.757196969696968,10.531818181818181,11.263257575757574,12.74280303030303,13.455681818181818,13.595075757575756,14.606818181818182,14.197727272727272,14.130681818181818,13.033333333333331,12.820833333333335,12.699242424242422,13.296969696969697,13.280681818181819
Environmentalism,543.6153846153846,543.6153846153846,543.6153846153846,543.6153846153846,28.275641025641026,27.852564102564102,25.166666666666664,25.416666666666664,28.16025641025641,22.80128205128205,22.185897435897434,25.54487179487179,26.326923076923077,27.37179487179487,27.602564102564102,25.53846153846154,24.064102564102562,24.467948717948715,25.083333333333332,29.455128205128208,26.339743589743588,28.99358974358974
Gambling,494.0,494.0,494.0,494.0,16.119047619047617,14.172619047619047,18.434523809523807,22.410714285714285,22.0,23.63690476190476,23.5297619047619,19.142857142857142,21.363095238095237,20.577380952380953,22.303571428571427,22.964285714285715,26.327380952380953,27.63095238095238,32.00595238095238,37.422619047619044,31.744047619047617,31.041666666666664
Games,518.7272727272727,518.7272727272727,518.7272727272727,518.7272727272727,8.545454545454545,11.856060606060606,13.56060606060606,16.848484848484848,19.795454545454543,18.984848484848484,20.189393939393938,25.71212121212121,28.795454545454547,38.28787878787878,31.022727272727273,30.515151515151512,24.136363636363637,17.681818181818183,12.931818181818182,14.522727272727273,14.469696969696969,12.348484848484846
Guns,508.0,508.0,508.0,508.0,28.313725490196077,24.985294117647058,22.137254901960784,21.897058823529413,23.166666666666664,22.245098039215687,22.892156862745097,26.02450980392157,28.544117647058822,28.426470588235293,26.83823529411765,28.23039215686274,31.102941176470587,28.40686274509804,27.073529411764707,24.8578431372549,26.044117647058822,22.754901960784313
Healthcare,531.4242424242424,531.4242424242424,531.4242424242424,531.4242424242424,26.853535353535353,27.366161616161612,23.424242424242426,21.017676767676765,20.338383838383837,20.97979797979798,20.366161616161616,25.277777777777775,26.41414141414141,26.88131313131313,27.57070707070707,28.131313131313128,26.90909090909091,27.133838383838384,28.02020202020202,28.626262626262626,29.813131313131315,35.41414141414141
