Cathegory,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Antidepressants,114.44897959183673,114.44897959183673,114.44897959183673,114.44897959183673,16.823129251700678,15.739795918367347,14.761904761904763,11.698979591836734,10.568027210884354,9.98299319727891,9.496598639455781,9.664965986394558,10.41326530612245,11.770408163265307,12.506802721088434,13.241496598639454,12.605442176870747,13.384353741496597,14.340136054421768,15.76530612244898,15.73299319727891,17.92517006802721
Cars,150.8695652173913,150.8695652173913,150.8695652173913,150.8695652173913,32.60144927536231,31.818840579710148,25.619565217391305,24.307971014492754,22.89855072463768,22.286231884057973,21.206521739130434,18.869565217391305,20.134057971014492,23.894927536231886,25.992753623188403,29.92753623188406,31.931159420289852,33.07608695652174,33.08695652173913,35.05434782608695,31.492753623188406,32.927536231884055
Charities,655.8,655.8,655.8,655.8,27.266666666666666,22.886666666666667,18.813333333333333,16.44333333333333,17.08,15.593333333333332,15.426666666666668,14.756666666666666,14.01,15.153333333333332,16.496666666666666,16.173333333333332,14.903333333333332,15.223333333333333,15.733333333333333,16.293333333333333,16.203333333333333,16.533333333333335
Conspiracy Theories,171.8846153846154,171.8846153846154,171.8846153846154,171.8846153846154,16.0625,13.899038461538462,10.35576923076923,9.498397435897434,9.677884615384615,10.298076923076923,11.387820512820513,11.711538461538462,12.576923076923077,12.9375,12.724358974358974,12.990384615384615,12.099358974358974,11.703525641025639,11.870192307692308,12.368589743589743,15.24198717948718,11.58974358974359
Consumerism,175.0,175.0,175.0,175.0,15.9375,17.566666666666666,17.674999999999997,21.083333333333332,23.062499999999996,26.09166666666666,31.84166666666666,30.258333333333333,29.8375,32.21666666666666,33.42916666666667,33.425,33.05416666666666,32.625,32.65416666666666,32.62083333333333,37.9875,33.8
Contraceptives,250.66666666666666,250.66666666666666,250.66666666666666,250.66666666666666,27.25,20.62962962962963,18.277777777777775,17.074074074074073,15.935185185185183,16.583333333333332,19.49074074074074,23.416666666666668,21.287037037037038,21.416666666666664,22.055555555555557,24.72222222222222,23.49074074074074,22.509259259259256,24.009259259259256,26.51851851851852,27.787037037037038,32.43518518518518
Education,209.25,209.25,209.25,209.25,50.28333333333333,46.295833333333334,38.041666666666664,33.475,32.19166666666667,29.425,28.758333333333333,29.804166666666664,28.075,27.77916666666666,28.229166666666668,28.741666666666664,27.25,25.704166666666662,26.616666666666667,27.8,32.49583333333333,34.46666666666666
Entertainment,440.2007874015748,440.2007874015748,440.2007874015748,440.2007874015748,11.705708661417322,9.749015748031496,8.232611548556429,7.709645669291339,7.594160104986876,7.573162729658792,7.968175853018372,8.621391076115486,9.409120734908136,10.181102362204724,10.194225721784777,10.178805774278215,9.728674540682416,8.455708661417322,8.444225721784777,8.753608923884514,10.033464566929133,9.646653543307087
Environmentalism,598.3333333333334,598.3333333333334,598.3333333333334,598.3333333333334,36.020833333333336,33.00694444444445,30.034722222222225,28.409722222222218,26.076388888888886,24.090277777777775,22.569444444444443,21.319444444444446,20.840277777777775,24.833333333333332,24.569444444444443,23.770833333333332,21.5,22.26388888888889,26.07638888888889,26.3125,22.569444444444443,26.451388888888886
Gambling,535.25,535.25,535.25,535.25,14.234375,14.572916666666666,14.119791666666666,14.510416666666666,14.854166666666666,14.171875,15.109375,16.213541666666668,17.1875,18.661458333333332,19.140625,19.21875,21.276041666666664,21.593749999999996,25.041666666666664,28.34375,28.192708333333332,37.182291666666664
Games,554.6428571428571,554.6428571428571,554.6428571428571,554.6428571428571,14.011904761904761,16.291666666666664,13.958333333333332,15.529761904761903,20.208333333333332,21.547619047619047,22.5,19.196428571428573,23.809523809523807,37.839285714285715,36.9345238095238,31.559523809523807,23.714285714285715,18.773809523809522,15.636904761904761,16.047619047619047,19.553571428571427,16.0
Guns,561.625,561.625,561.625,561.625,26.473958333333332,21.09375,17.84375,18.354166666666668,19.932291666666668,19.171875,18.953125,18.427083333333332,19.71875,20.994791666666668,19.958333333333332,22.260416666666664,23.052083333333332,21.880208333333332,22.588541666666668,21.260416666666668,23.817708333333332,20.15625
Healthcare,623.375,623.375,623.375,623.375,24.151041666666668,22.145833333333332,17.825520833333332,16.8984375,17.0625,14.893229166666666,14.684895833333332,16.34375,16.03125,17.546875,18.919270833333332,19.208333333333332,18.799479166666664,19.348958333333332,20.682291666666664,21.971354166666664,24.846354166666664,29.502604166666664
Housing,602.25,602.25,602.25,602.25,33.166666666666664,34.744791666666664,31.822916666666664,28.526041666666668,23.171875,23.578125,22.390625,24.333333333333332,24.59375,24.609375,26.546874999999996,27.822916666666668,29.739583333333332,29.755208333333336,29.083333333333332,28.276041666666668,29.229166666666664,30.333333333333336
Ideology,673.1538461538462,673.1538461538462,673.1538461538462,673.1538461538462,31.403846153846153,24.897435897435894,20.63782051282051,19.019230769230766,19.60576923076923,19.618589743589745,19.125,15.243589743589743,16.083333333333332,14.881410256410255,15.307692307692308,15.564102564102562,16.089743589743588,16.05448717948718,18.131410256410255,18.057692307692307,19.833333333333332,18.689102564102566
Illegal Drugs,669.3571428571429,669.3571428571429,669.3571428571429,669.3571428571429,25.642857142857142,21.961309523809522,19.303571428571427,17.6875,17.559523809523807,16.556547619047617,17.25,19.336309523809522,20.392857142857142,24.32440476190476,26.660714285714285,26.82440476190476,27.541666666666664,27.125,31.002976190476193,33.61607142857143,33.645833333333336,34.57738095238095
Investing,718.5,718.5,718.5,718.5,15.927083333333332,13.395833333333332,12.401041666666668,12.4375,12.635416666666668,11.984375,10.515625,11.104166666666666,10.296875,11.270833333333332,12.411458333333332,13.453125,12.895833333333334,16.927083333333332,18.6875,19.458333333333332,32.0,52.119791666666664
Jobs,660.0,660.0,660.0,660.0,28.6969696969697,24.606060606060602,20.477272727272727,16.492424242424242,17.189393939393938,15.931818181818182,16.212121212121215,17.924242424242426,17.053030303030305,17.257575757575754,20.64393939393939,21.43939393939394,18.90909090909091,19.166666666666664,19.030303030303028,18.46212121212121,18.287878787878785,20.734848484848484
Legal Drugs,697.9,697.9,697.9,697.9,21.38611111111111,22.56111111111111,19.683333333333334,19.941666666666666,18.958333333333332,18.32222222222222,21.272222222222222,21.8,24.491666666666667,26.522222222222222,25.894444444444442,27.33611111111111,28.611111111111107,29.691666666666666,30.79722222222222,33.583333333333336,32.36666666666666,34.52222222222222
Low income,743.1666666666666,743.1666666666666,743.1666666666666,743.1666666666666,31.916666666666668,25.902777777777775,22.79861111111111,22.715277777777775,23.083333333333332,22.090277777777775,22.25,25.79861111111111,27.291666666666668,30.625,33.74305555555556,32.20138888888889,30.652777777777775,31.98611111111111,30.034722222222218,30.159722222222218,31.215277777777775,30.819444444444443
Marriage,707.5,707.5,707.5,707.5,21.958333333333332,14.916666666666668,11.979166666666666,8.9375,9.75,10.333333333333332,8.375,9.6875,9.5,9.708333333333332,11.20833333333333,11.083333333333332,11.791666666666666,11.0,11.958333333333334,11.666666666666668,11.0,11.416666666666668
News,785.0,785.0,785.0,785.0,22.583333333333332,17.95277777777778,15.9375,16.990277777777777,17.291666666666668,17.33888888888889,19.76111111111111,17.45138888888889,18.423611111111107,18.926388888888887,18.861111111111107,19.352777777777778,19.82777777777778,20.525,19.394444444444442,19.468055555555555,18.07222222222222,16.427777777777777
Other,765.5,765.5,765.5,765.5,26.29166666666666,18.6875,17.708333333333332,13.874999999999998,12.499999999999998,10.291666666666668,9.041666666666666,11.895833333333334,10.270833333333334,10.979166666666666,14.666666666666668,15.4375,17.125,17.4375,23.916666666666664,28.979166666666668,28.1875,31.875
Religion,820.8333333333334,820.8333333333334,820.8333333333334,820.8333333333334,25.70138888888889,22.92824074074074,21.63888888888889,19.319444444444443,19.89351851851852,20.814814814814813,21.34722222222222,18.85648148148148,20.29398148148148,21.398148148148145,22.40972222222222,23.40509259259259,22.462962962962962,23.773148148148145,23.416666666666668,24.3125,26.828703703703702,26.29398148148148
