Cathegory,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Antidepressants,17.58531746031746,13.865079365079364,12.174603174603174,10.067460317460316,10.301587301587302,10.359126984126984,10.087301587301589,10.765873015873016,11.849206349206348,12.035714285714286,12.6765873015873,13.72222222222222,12.54563492063492,13.922619047619047,15.36706349206349,15.952380952380953,16.535714285714285,17.952380952380953
Cars,31.57575757575757,24.61742424242424,22.189393939393938,20.77272727272728,20.651515151515152,22.4280303030303,22.59090909090909,19.829545454545453,21.07575757575757,22.33333333333333,22.412878787878785,25.155303030303028,25.53409090909091,26.420454545454547,28.26893939393939,30.723484848484848,28.27272727272728,29.95075757575757
Charities,25.83888888888889,22.14444444444445,19.066666666666663,16.02777777777778,15.747222222222224,15.43611111111111,14.59722222222222,15.227777777777778,15.091666666666669,14.513888888888888,14.877777777777776,15.205555555555556,15.080555555555556,14.916666666666664,15.583333333333334,15.855555555555556,15.575,15.65
Conspiracy Theories,20.48581560283688,14.342198581560284,11.132978723404255,9.787234042553193,12.069148936170214,12.065602836879432,12.329787234042554,13.719858156028367,13.163120567375886,13.28014184397163,13.77659574468085,14.131205673758863,14.78014184397163,13.890070921985815,13.04255319148936,12.634751773049649,13.854609929078013,11.936170212765957
Consumerism,29.870370370370367,26.532407407407405,24.96296296296296,26.625,27.25,26.60648148148148,28.44907407407407,29.662037037037035,30.96296296296296,33.05555555555556,35.06481481481481,36.46759259259259,38.96296296296296,40.40740740740741,38.89814814814815,38.94907407407407,44.06481481481481,40.04166666666666
Contraceptives,19.33333333333333,15.740740740740742,13.768518518518515,10.98148148148148,11.231481481481485,11.268518518518515,14.259259259259258,12.74074074074074,13.333333333333332,14.175925925925927,12.666666666666666,12.425925925925926,11.50925925925926,11.666666666666664,12.546296296296296,13.98148148148148,14.99074074074074,17.85185185185185
Crime,12.083333333333334,19.0,8.416666666666666,7.416666666666666,2.6666666666666665,3.375,3.708333333333333,3.5,3.2916666666666665,4.625,4.666666666666667,4.958333333333333,4.083333333333333,3.75,4.5,3.2916666666666665,3.9583333333333335,3.75
Education,48.38425925925926,42.138888888888886,35.254629629629626,30.879629629629623,30.310185185185187,30.134259259259256,29.189814814814813,29.60648148148148,28.648148148148145,29.509259259259256,30.828703703703702,30.907407407407405,32.175925925925924,30.20833333333333,29.94907407407408,29.97222222222222,30.884259259259256,30.439814814814813
Entertainment,13.036157024793388,10.25241046831956,8.898415977961433,8.510330578512397,8.577823691460056,8.96728650137741,9.50137741046832,11.492079889807163,11.008608815426996,11.709710743801653,12.286157024793388,12.082300275482092,11.729338842975206,10.40668044077135,10.265151515151514,10.199035812672175,10.786845730027547,10.40599173553719
Environmentalism,33.166666666666664,31.11111111111111,29.11805555555556,27.875,28.222222222222225,23.53472222222221,22.82638888888889,23.77777777777777,23.55555555555556,22.28472222222221,21.041666666666668,21.67361111111111,21.0625,21.36111111111111,22.284722222222225,23.30555555555556,24.6875,27.375
