Cathegory,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Antidepressants,27.17948717948718,27.17948717948718,27.17948717948718,27.17948717948718,18.805555555555554,14.183760683760683,11.05982905982906,10.816239316239315,10.818376068376068,12.26923076923077,11.98076923076923,12.925213675213675,14.087606837606836,14.873931623931622,15.542735042735043,15.444444444444443,13.993589743589743,14.995726495726494,15.982905982905981,16.604700854700855,16.792735042735043,17.673076923076923
Cars,48.0,48.0,48.0,48.0,28.321428571428573,25.773809523809526,24.25793650793651,24.392857142857142,25.777777777777775,28.801587301587304,29.06349206349206,28.186507936507933,30.071428571428573,34.361111111111114,33.007936507936506,32.904761904761905,33.49603174603175,34.51190476190476,34.36111111111111,37.82539682539682,33.964285714285715,34.92857142857143
Charities,697.24,697.24,697.24,697.24,33.346666666666664,28.79,29.386666666666667,26.35333333333333,24.53333333333333,24.016666666666666,24.42,23.876666666666665,22.696666666666665,22.60333333333333,22.566666666666666,21.66,20.276666666666664,20.226666666666667,19.29,19.133333333333333,19.3,18.156666666666666
Conspiracy Theories,92.37777777777778,92.37777777777778,92.37777777777778,92.37777777777778,19.257407407407406,15.292592592592591,12.592592592592592,10.268518518518517,10.87037037037037,11.296296296296296,11.6,12.448148148148148,13.214814814814813,13.287037037037036,12.03888888888889,12.444444444444445,12.472222222222221,11.403703703703703,10.792592592592591,11.544444444444444,13.82962962962963,11.957407407407409
Consumerism,111.5,111.5,111.5,111.5,20.73333333333333,18.816666666666666,19.45,21.554166666666667,26.69166666666667,27.691666666666663,31.0625,32.07083333333333,32.516666666666666,35.37083333333333,36.7875,36.68333333333333,37.1125,37.50416666666667,37.15833333333333,36.6125,40.025,35.31666666666666
Contraceptives,210.875,210.875,210.875,210.875,23.229166666666664,23.083333333333336,24.020833333333332,21.708333333333332,19.354166666666664,23.53125,27.614583333333332,27.78125,26.375,28.270833333333332,28.447916666666664,29.052083333333332,27.15625,26.166666666666664,27.322916666666664,26.760416666666664,27.052083333333336,31.84375
Crime,129.0,129.0,129.0,129.0,8.0,7.25,8.333333333333334,8.75,8.333333333333334,9.916666666666666,3.083333333333333,3.4166666666666665,0.9166666666666666,0.75,1.3333333333333333,2.833333333333333,0.5,2.25,1.25,2.833333333333333,0.9166666666666666,3.8333333333333335
Education,147.8421052631579,147.8421052631579,147.8421052631579,147.8421052631579,53.19298245614035,48.71491228070175,44.78947368421053,42.14035087719298,41.94298245614035,42.37280701754386,41.2938596491228,40.73245614035088,37.771929824561404,36.614035087719294,36.75877192982456,37.17543859649123,37.526315789473685,37.12719298245614,38.36842105263158,38.021929824561404,37.03508771929825,37.60526315789474
Entertainment,435.2648221343874,435.2648221343874,435.2648221343874,435.2648221343874,12.26086956521739,10.099143610013174,8.586297760210805,8.515810276679842,7.773056653491436,8.329051383399209,8.538866930171277,8.937747035573123,9.118577075098814,9.92687747035573,10.853754940711463,9.985177865612648,9.627799736495387,8.093544137022397,8.241765480895914,7.875494071146245,8.61923583662714,8.39361001317523
Environmentalism,825.3,825.3,825.3,825.3,26.174999999999994,28.566666666666663,27.09166666666666,27.666666666666668,29.84166666666666,30.083333333333332,26.44166666666667,27.225,29.56666666666667,30.78333333333333,29.9,28.791666666666664,27.508333333333333,29.35,32.5,32.25833333333333,32.4,31.8
