,Unnamed: 0,EN,Flag,Cathegory,Keyword_Count,CS,DE,ES,PT-BR,FR,NL
0,0,Adapin,1,Antidepressants,6,Adapin,Adapin,Adapin,Adaptar,Adapin,Adapin
1,1,doxepin,1,Antidepressants,7,doxepin,doxepin,doxepin,doxepin,doxepin,doxepin
2,2,Anafranil,1,Antidepressants,9,Anafranil,Anafranil,Anafranil,Anafranil,Anafranil,Anafranil
3,3,clomipramine,1,Antidepressants,12,clomipramine,Clomipramin,clomipramina,clomipramina,clomipramine,clomipramine
4,4,aplezin,1,Antidepressants,7,aplezin,aplezin,aplezin,aplezin,aplezin,aplezin
5,5,bupropion,1,Antidepressants,9,bupropion,Bupropion,bupropion,bupropiona,bupropion,bupropion
6,6,asendin,1,Antidepressants,7,asendin,asendin,asendin,asendin,asendin,asendin
7,7,amoxapine,1,Antidepressants,9,amoxapin,Amoxapin,amoxapina,amoxapina,amoxapine,amoxapine
8,8,aventyl HCI,1,Antidepressants,11,aventyl HCI,Aventyl-HCI,aventyl HCI,Vanguarda HCI,aventyl HCI,aventyl HCI
9,9,notriptyline,1,Antidepressants,12,notriptylin,notriptylin,notriptyline,notriptyline,notriptyline,notriptyline
10,10,Brexipipzole,1,Antidepressants,12,Brexipipzol,Brexipipzol,Brexipzole,Brexipipzole,Brexipipzole,Brexipipzol
11,11,Rexulti,1,Antidepressants,7,Rexulti,Rexulti,Rexulti,Rexulti,Rexulti,Rexulti
12,12,Celexa,1,Antidepressants,6,Celexa,Celexa,Celexa,Celexa,Celexa,Celexa
13,13,citopram,1,Antidepressants,8,citopram,Citopram,citopram,citopram,citopram,citopram
14,14,Cymbalta,1,Antidepressants,8,Cymbalta,Cymbalta,Cymbalta,Cymbalta,Cymbalta,Cymbalta
15,15,duloxetine,1,Antidepressants,10,duloxetin,Duloxetin,duloxetina,duloxetina,duloxetine,duloxetine
16,16,desyrel,1,Antidepressants,7,desyrel,desyrel,desyrel,desyrel,desyrel,desyrel
17,17,trazodone,1,Antidepressants,9,trazodon,Trazodon,trazodona,trazodone,trazodone,trazodon
18,18,Effexor XR,1,Antidepressants,10,Effexor XR,Effexor XR,Effexor XR,Effexor XR,Effexor XR,Effexor XR
19,19,venlafaxine,1,Antidepressants,11,venlafaxin,venlafaxin,venlafaxina,venlafaxine,venlafaxine,venlafaxine
20,20,emsam,1,Antidepressants,5,emsam,emsam,emsam,emsam,emsam,emsam
21,21,selegiline,1,Antidepressants,10,Selegilin,Selegilin,Selegilina,Selegiline,Sélégiline,Selegiline
22,22,esketamine,1,Antidepressants,10,eskalace,Eskalation,escalada,escalação,escalade,escalatie
23,23,spravato,1,Antidepressants,8,spravato,spravato,spravato,spravato,spravato,spravato
24,24,etrafon,1,Antidepressants,7,etrafon,etrafon,etrafon,etrafon,etrafon,etrafon
25,25,perphenazine,1,Antidepressants,12,perfenazin,Perphenazin,perfenazina,perfenazina,perphénazine,perfenazine
26,26,amitriptyline,1,Antidepressants,13,amitriptylin,Amitriptylin,amitriptilina,amitriptyline,amitriptyline,amitriptyline
27,27,elavil,1,Antidepressants,6,elavil,elavil,elavil,elavil,elavil,elavil
28,28,endep,1,Antidepressants,5,endep,endep,endep,endep,endep,endep
29,29,fetzima,1,Antidepressants,7,fetzima,fetzima,fetzima,fetzima,fetzima,fetzima
30,30,levomilnacipran,1,Antidepressants,15,levomilnacipran,levomilnacipran,levomilnacipran,levomilnacipran,lévomilnacipran,levomilnacipran
31,31,khedezla,1,Antidepressants,8,khedezla,khedezla,khedezla,khedezla,khedezla,khedezla
32,32,desvenlafaxine,1,Antidepressants,14,desvenlafaxin,Desvenlafaxin,desvenlafaxina,desvenlafaxine,desvenlafaxine,desvenlafaxine
33,33,latuda,1,Antidepressants,6,latuda,latuda,latuda,latuda,latuda,latuda
34,34,lurasidone,1,Antidepressants,10,lurasidon,lurasidon,lurasidona,lurasidone,lurasidone,lurasidone
35,35,lamictal,1,Antidepressants,8,lamictal,lamictal,lamictal,lamictal,lamictal,lamictal
36,36,lamotrigine,1,Antidepressants,11,lamotrigin,Lamotrigin,lamotrigine,lamotrigina,lamotrigine,lamotrigine
37,37,lexapro,1,Antidepressants,7,lexapro,lexapro,lexapro,lexapro,lexapro,lexapro
38,38,escitopram,1,Antidepressants,10,escitopram,Escitopram,escitopram,escitopram,escitopram,escitopram
39,39,limbitrol,1,Antidepressants,9,limbitrol,limbitrol,limbitrol,limbitrol,limbitrol,limbitrol
40,40,chlordiazepoxide,1,Antidepressants,16,chlordiazepoxid,Chlordiazepoxid,clordiazepóxido,clordiazepoxida,chlordiazépoxide,chlordiazepoxide
41,41,marplan,1,Antidepressants,7,marplan,marplan,marplan,marplan,marplan,marplan
42,42,isocarboxazid,1,Antidepressants,13,isocarboxazid,Isocarboxazid,isocarboxazid,isocarboxazid,isocarboxazid,isocarboxazid
43,43,nardil,1,Antidepressants,6,nardil,nardil,nardil,nardil,nardil,nardil
44,44,phenelzine,1,Antidepressants,10,phenelzine,Phenelzin,fenelzina,fenelzina,phénelzine,phenelzine
45,45,norpramin,1,Antidepressants,9,norpramin,norpramin,norpramin,norpramin,norpramin,norpramin
46,46,desipramine,1,Antidepressants,11,desipramin,Desipramin,desipramina,desipramina,désipramine,desipramine
47,47,oleptro,1,Antidepressants,7,oleptro,oleptro,oleptro,oleptro,oleptro,oleptro
48,48,pamelor,1,Antidepressants,7,pamelor,pamelor,pamelor,pamelor,pamélor,pamelor
49,49,nortiptyline,1,Antidepressants,12,nortiptylin,nortiptylin,nortiptilina,nortiptyline,nortiptyline,nortiptyline
50,50,parnate,1,Antidepressants,7,parnate,parnate,parnate,parnate,parnate,parnate
51,51,tranylcypromine,1,Antidepressants,15,tranylcypromin,Tranylcypromin,tranilcipromina,tranilcipromina,tranylcypromine,tranylcypromine
52,52,paxil,1,Antidepressants,5,paxil,paxil,paxil,paxil,paxil,paxil
53,53,paroxetine,1,Antidepressants,10,paroxetin,Paroxetin,paroxetina,paroxetina,paroxétine,paroxetine
54,54,pexeva,1,Antidepressants,6,pexeva,pexeva,pexeva,pexeva,pexeva,pexeva
55,55,prozac,1,Antidepressants,6,prozac,prozac,prozac,prozac,prozac,prozac
56,56,fluoxetine,1,Antidepressants,10,fluoxetin,Fluoxetin,fluoxetina,fluoxetina,fluoxétine,fluoxetine
57,57,pristiq,1,Antidepressants,7,pristiq,pristiq,pristiq,pristiq,pristiq,pristiq
58,59,sarafem,1,Antidepressants,7,sarafem,sarafem,sarafem,sarafem,sarafem,sarafem
59,60,seroquel XR,1,Antidepressants,11,seroquel XR,Seroquel XR,seroquel XR,seroquel XR,séroquel XR,seroquel XR
60,61,quetiapine,1,Antidepressants,10,quetiapin,Quetiapin,quetiapina,quetiapina,quétiapine,quetiapine
61,62,serzone,1,Antidepressants,7,serzone,serzone,serzone,serzone,serzone,serzone
62,63,nefazodone,1,Antidepressants,10,nefazodon,Nefazodon,nefazodona,nefazodone,néfazodone,nefazodon
63,64,sinequan,1,Antidepressants,8,sinequan,Sinequan,sinequan,sinequan,sinequan,sinequan
64,66,surmotil,1,Antidepressants,8,surmotil,surmotil,surmotil,surmotil,surmotil,surmotil
65,67,trimipranine,1,Antidepressants,12,trimipranin,Trimipranin,trimipranina,trimipranina,trimipranine,trimipranine
66,68,symbyax,1,Antidepressants,7,symbyax,symbyax,symbyax,simbiax,symbyaxe,symbyax
67,69,tofranil,1,Antidepressants,8,tofranil,tofranil,tofranil,tofranil,tofranil,tofranil
68,70,imipramine,1,Antidepressants,10,imipramin,Imipramin,imipramina,imipramina,imipramine,imipramine
69,71,triavil,1,Antidepressants,7,triavil,triavil,triavil,triavil,triavil,triavil
70,72,trintellix,1,Antidepressants,10,trintellix,trintellix,trintellix,trintellix,trintellix,trintellix
71,73,viibryd,1,Antidepressants,7,viibryd,viibryd,viibryd,viibryd,viibryd,viibryd
72,74,vortioxetine,1,Antidepressants,12,vortioxetin,vortioxetin,vortioxetina,vortioxetina,vortioxetine,vortioxetine
73,75,vilazodone,1,Antidepressants,10,vilazodon,vilazodone,vilazodona,vilazodone,vilazodone,vilazodon
74,76,protiptyline,1,Antidepressants,12,antiptylin,antiptylin,antiptyline,antiptyline,antiptyline,antiptyline
75,77,wellbutrin,1,Antidepressants,10,wellbutrin,wellbutrin,wellbutrin,wellbutrin,wellbutrin,wellbutrin
76,79,zoloft,1,Antidepressants,6,zoloft,zoloft,zoloft,zoloft,zoloft,zoloft
77,80,sertraline,1,Antidepressants,10,sertralin,sertraline,sertralina,sertralina,sertraline,sertraline
78,81,zyprexa olanzapine,1,Antidepressants,18,zyprexa olanzapin,zyprexa olanzapin,zyprexa olanzapina,zyprexa olanzapine,zyprexa olanzapine,zyprexa olanzapine
79,82,xanax,1,Antidepressants,5,xanax,xanax,xanax,xanax,xanax,xanax
80,83,Alprazolam,1,Antidepressants,10,Alprazolam,Alprazolam,Alprazolam,Alprazolam,Alprazolam,Alprazolam
81,84,car sale,1,Cars,8,prodej automobilů,Autoverkauf,venta de coches,venda de carros,vente de voitures,autoverkoop
82,85,gas price,1,Cars,9,cena plynu,Gaspreis,gas price,preço do gás,prix du gaz,gasprijs
83,86,petrol price,1,Cars,12,cena benzínu,Benzinpreis,petrol price,preço da gasolina,prix de l'essence,benzineprijs
84,87,diesel price,1,Cars,12,cena nafty,diesel price,precio del gasóleo,preço do diesel,prix du diesel,dieselprijs
